"sample","input","filtered","denoised_f","denoised_r","merged","nonchim"
"SRR11826002",38221,29498,29297,29378,940,18810
"SRR11826003",36524,27576,27490,27518,431,23853
"SRR11826004",35070,27132,26550,26855,1047,20845
"SRR11826005",51606,39680,38690,39320,1476,30981
"SRR11826006",50465,38546,36739,37745,2103,22171
"SRR11826007",63987,47669,46663,47202,2167,32154
"SRR11826008",55763,42638,42126,42332,2369,26237
"SRR11826009",52246,40147,39188,39664,1641,27158
"SRR11826010",56352,43464,42448,42969,1848,32982
"SRR11826011",65373,49266,48835,49091,2316,32492
"SRR11826012",61016,45981,45108,45610,2065,33446
"SRR11826013",53669,40485,39775,40156,1737,26979
"SRR11826014",52018,40937,39374,40264,1790,29210
"SRR11826015",59740,45310,43931,44743,3511,24184
"SRR11826016",37445,28744,27880,28329,2117,15911
"SRR11826017",54960,42259,41136,41765,3585,21968
"SRR11826018",55239,42839,42077,42374,2596,26219
"SRR11826019",52310,39702,39311,39468,1456,26473
"SRR11826020",56071,43093,41915,42699,1956,26807
"SRR11826021",46211,35400,35308,35277,230,31535
"SRR11826022",52658,37801,37264,37506,942,30007
"SRR11826023",42539,33876,33165,33393,1784,22057
"SRR11826024",55233,42248,41139,41707,2589,24935
"SRR11826025",47321,35741,35362,35530,947,27100
"SRR11826026",40438,31404,30673,31006,1857,17121
"SRR11826027",35237,27341,26763,26859,2155,13607
