"","[Clostridium] innocuum group","[Eubacterium] brachy group","[Eubacterium] eligens group","[Eubacterium] fissicatena group","[Eubacterium] hallii group","[Eubacterium] nodatum group","[Eubacterium] oxidoreducens group","[Eubacterium] ruminantium group","[Eubacterium] siraeum group","[Eubacterium] ventriosum group","[Eubacterium] xylanophilum group","[Ruminococcus] gauvreauii group","[Ruminococcus] gnavus group","[Ruminococcus] torques group","Abiotrophia","Acetanaerobacterium","Acidaminococcus","Acinetobacter","Actinobacillus","Actinomyces","Actinotignum","Adlercreutzia","Agathobacter","Aggregatibacter","Akkermansia","Aliihoeflea","Alistipes","Allisonella","Alloprevotella","Alloscardovia","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaeroplasma","Anaerostignum","Anaerostipes","Anaerotruncus","Anaerovorax","Angelakisella","Aquamonas","Asaccharobacter","Asaccharospora","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevundimonas","Bulleidia","Butyricicoccus","Butyricimonas","CAG-352","CAG-56","CAG-873","Caldicoprobacter","Campylobacter","Candidatus Hepatoplasma","Candidatus Saccharimonas","Candidatus Soleaferrea","Candidatus Stoquefichus","Catabacter","Catenibacillus","Catenibacterium","Cellulosilyticum","Cetobacterium","Chelativorans","CHKCI001","CHKCI002","Christensenella","Christensenellaceae R-7 group","Chryseobacterium","Citrobacter","Cloacibacillus","Cloacibacterium","Clostridioides","Clostridium sensu stricto 1","Clostridium sensu stricto 13","Colidextribacter","Collinsella","Comamonas","Companilactobacillus","Conservatibacter","Coprobacillus","Coprobacter","Coprococcus","Coriobacteriaceae UCG-003","Corynebacterium","Cronobacter","Cryptobacterium","Cuneatibacter","Curvibacter","Defluviitaleaceae UCG-011","Delftia","Desulfovibrio","Dialister","Dielma","DNF00809","Dorea","DTU089","Dysgonomonas","Edwardsiella","Eggerthella","Eisenbergiella","Empedobacter","Enorma","Enterobacter","Enterococcus","Enterorhabdus","Epulopiscium","Erysipelatoclostridium","Erysipelotrichaceae UCG-003","Escherichia-Shigella","Eubacterium","Ezakiella","F0332","Facklamia","Faecalibacterium","Faecalicoccus","Faecalitalea","Family XIII AD3011 group","Family XIII UCG-001","Fastidiosipila","Fenollaria","Finegoldia","Flavonifractor","Fournierella","Frisingicoccus","Fructilactobacillus","Fusicatenibacter","Fusobacterium","Gallicola","Gardnerella","GCA-900066575","GCA-900066755","Gemella","Gordonibacter","Granulicatella","Haemophilus","Hafnia-Obesumbacterium","Halarcobacter","Halomonas","Harryflintia","Herbaspirillum","Holdemanella","Holdemania","Howardella","HT002","Hungatella","Hypnocyclicus","Incertae Sedis","Intestinibacter","Intestinimonas","Klebsiella","Kurthia","Lachnoanaerobaculum","Lachnoclostridium","Lachnospira","Lachnospiraceae FCS020 group","Lachnospiraceae NC2004 group","Lachnospiraceae ND3007 group","Lachnospiraceae NK4A136 group","Lachnospiraceae UCG-001","Lachnospiraceae UCG-003","Lachnospiraceae UCG-004","Lachnospiraceae UCG-008","Lachnospiraceae UCG-010","Lacticaseibacillus","Lactiplantibacillus","Lactobacillus","Lactococcus","Lactonifactor","Lawsonella","Lelliottia","Leuconostoc","Levilactobacillus","Ligilactobacillus","Limosilactobacillus","Lysinibacillus","Mailhella","Malaciobacter","Marvinbryantia","Megamonas","Megasphaera","Merdibacter","Methanobrevibacter","Mitsuokella","Mobiluncus","Mogibacterium","Monoglobus","Morganella","Murdochiella","Muricauda","Murimonas","Negativibacillus","Negativicoccus","Neisseria","Nesterenkonia","NK4A214 group","Nosocomiicoccus","Oceanicaulis","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oscillospira","Oxalobacter","Paenalcaligenes","Paeniclostridium","Paludicola","Papillibacter","Parabacteroides","Paraclostridium","Paracoccus","Paraeggerthella","Paraprevotella","Parascardovia","Parasutterella","Parvibacter","Parvimonas","Pediococcus","Pelagibacterium","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Photobacterium","Pluralibacter","Porphyromonas","Prevotella","Prevotella_7","Prevotella_9","Prevotellaceae Ga6A1 group","Prevotellaceae NK3B31 group","Prevotellaceae UCG-001","Prevotellaceae UCG-003","Propionigenium","Proteiniphilum","Proteus","Providencia","Pseudocitrobacter","Pseudoclavibacter","Pseudoflavonifractor","Pseudoglutamicibacter","Pseudomonas","Pseudoramibacter","Pseudoscardovia","Pygmaiobacter","Pyramidobacter","Raoultella","Raoultibacter","Rikenellaceae RC9 gut group","Robinsoniella","Romboutsia","Roseburia","Rothia","Ruminiclostridium","Ruminococcus","S5-A14a","Salmonella","Sanguibacteroides","Sarcina","Scardovia","Sediminibacterium","Sediminispirochaeta","Selenomonas","Sellimonas","Senegalimassilia","Serratia","Shuttleworthia","Slackia","Solobacterium","Sphingobacterium","Sphingomonas","Staphylococcus","Stenotrophomonas","Stomatobaculum","Streptococcus","Subdoligranulum","Succinivibrio","Sunxiuqinia","Sutterella","Synergistes","Tepidimicrobium","Terrisporobacter","TM7a","TM7x","Turicibacter","Tuzzerella","Tyzzerella","UBA1819","UC5-1-2E3","UCG-002","UCG-003","UCG-005","UCG-007","UCG-009","Unknown","Veillonella","Vibrio","Victivallis","W5053","Weissella","Wohlfahrtiimonas","ZOR0006"
"SRR11825867",0,0,0,0,17,3,0,0,0,0,0,0,11,120,0,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,34,1,1072,3,362,0,0,403,0,3,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,47,0,0,0,0,35,0,0,540,0,0,0,0,105,13,0,1,0,0,3736,0,16,0,0,0,0,0,10,0,0,0,116,0,0,0,0,0,0,3,0,13,0,0,1,0,0,0,16,0,0,5,0,6,2,0,10799,0,0,140,14,55,0,0,222,0,0,1,0,4,0,0,0,0,6,0,0,0,0,167,18,0,0,0,0,0,0,0,0,0,0,0,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,8,91,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,130,0,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,1105,102,0,0,0,0,0,0
"SRR11825868",4,0,91,2,9,16,0,0,0,68,62,10,6,304,0,0,42,0,0,0,0,0,0,0,226,0,153,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,987,0,1510,7,387,0,0,92,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,83,0,0,0,0,0,28,0,5,374,0,0,0,4,0,178,0,0,0,0,0,0,15,0,31,948,0,0,22,30,0,0,2,9,0,0,1,0,0,0,0,0,37,0,1,0,0,1365,0,0,11,3,0,2,0,15,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,21,48,20,3,0,0,27,5,5,1,23,45,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,71,0,0,0,0,10,0,0,0,266,0,0,0,1,0,24,0,0,0,0,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,2,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,23,310,4,0,817,0,0,0,0,0,0,0,0,2,72,0,4,0,0,0,0,0,0,0,26,6877,0,0,3,0,0,6,0,0,3,0,1,65,0,0,17,129,0,0,776,11,0,0,0,0,0,0
"SRR11825869",0,0,41,0,12,0,0,135,25,62,197,24,2,67,0,0,0,2,0,0,0,18,3100,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471,17,91,5,262,0,0,119,0,0,71,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,264,0,0,48,0,0,0,0,0,1372,0,0,0,0,0,0,4,0,16,327,0,0,15,0,0,0,0,0,0,0,939,0,0,0,0,24,139,0,0,0,0,3715,0,1,5,9,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,13,3,1,0,0,120,257,3,0,62,170,198,0,3,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,2,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,15,0,0,0,1,0,0,0,38,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,987,0,0,508,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,3,4970,0,0,0,0,0,5,0,3,2,0,46,0,0,87,0,80,0,0,1198,0,0,0,0,0,0,0
"SRR11825870",4,0,0,4,2,0,0,0,0,0,0,0,790,8,0,0,0,0,0,19,0,0,4,0,1,0,14,9,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,14,0,510,0,1005,37,544,0,0,106,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,9,588,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,63,2,0,0,31,2,0,0,17,2,10078,0,0,0,0,61,0,34,0,0,0,0,0,20,0,0,0,90,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,13,0,1,31,0,11,2,0,207,0,0,630,159,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,29,1,0,0,0,0,220,65,0,0,0,0,0,518,0,0,0,0,0,0,0,0,0,0,0,2,2,0,9,0,0,0,0,0,0,81,0,0,0,0,0,149,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,118,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,75,2169,0,0,0,0,0,0,0,0,0,0,74,36,0,2,0,0,0,0,2122,3666,0,0,0,0,0,0
"SRR11825871",8,0,0,75,14,0,4,0,0,113,0,0,3,33,0,0,51,0,0,0,0,0,962,0,44,0,717,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,1550,0,404,0,437,0,0,7,0,0,40,0,0,0,0,0,7,0,3,0,0,0,0,1,0,0,19,0,0,30,0,0,0,12,0,0,0,0,0,0,1,0,52,0,8,0,0,0,0,51,0,18,561,0,0,4,0,0,0,18,67,0,0,33,3,0,0,7,98,231,0,0,0,0,854,0,0,0,0,0,0,0,9,0,4,0,32,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,22,0,0,26,0,20,6,11,479,0,0,122,5,0,0,0,74,0,0,0,2,7,0,0,0,6,10,0,0,0,0,0,0,0,0,0,10,0,47,0,0,0,0,4,104,0,0,0,0,0,0,0,0,214,0,0,43,3,0,10,0,0,0,0,37,0,2201,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,239,0,0,60,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,4954,0,0,0,0,0,0,0,2,0,0,0,18,0,750,6,0,0,0,4390,0,0,0,0,16,0,0
"SRR11825872",7,0,3,3,42,0,0,0,0,42,0,0,16,73,0,0,0,0,0,12,0,0,919,0,0,0,3,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,34,0,149,0,931,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0,0,96,0,3,0,0,0,0,0,0,67,0,0,0,1,0,0,0,0,2,2,0,0,8,0,0,0,31,4,0,0,2,9,0,0,1,20,5,0,0,0,0,5235,0,0,15,3,0,0,0,23,0,0,0,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,12,2,0,0,119,12,9,2,3,88,0,0,2,0,3,0,0,2,0,11,0,0,12,0,16,1,0,0,0,7,0,16,0,0,0,0,0,53,0,0,0,0,0,0,0,0,168,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,66,2,0,475,0,0,0,0,4,0,0,0,34,0,0,0,0,0,0,0,0,0,0,114,6335,0,0,0,0,0,0,0,0,0,0,0,21,0,516,4,21,0,0,307,5,0,0,0,2,0,0
"SRR11825873",30,1,0,0,0,0,0,0,0,0,0,0,89,146,0,0,0,0,0,13,0,0,0,0,3649,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7484,0,157,0,0,83,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,0,74,0,0,0,0,69,0,0,266,0,1,0,0,0,0,13,0,0,44,0,0,0,0,0,0,0,0,94,0,0,0,22,0,0,21,0,3,0,0,7,0,0,0,10,0,0,4,0,263,16,0,0,0,0,36,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,4,0,4,1,0,0,0,0,0,0,8,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,1357,434,0,0,0,0,0,0,0,0,0,58,0,7,0,1,0,0,0,0,2318,104,0,0,0,0,0,0
"SRR11825874",2,0,31,0,4,25,0,0,0,4,0,4,0,4,0,4,0,0,0,0,0,26,49,0,4,0,22,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,78,0,7031,0,145,0,0,22,0,1,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,25,0,702,0,0,0,5,0,7,77,0,0,0,1,0,89,0,0,0,0,0,0,3,0,0,0,0,0,48,12,0,0,2,12,0,5,349,17,0,0,1,34,2154,0,0,0,0,371,0,3,2,12,0,0,0,4,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,36,1,1,163,44,0,4,17,1,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,5,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,42,0,0,0,0,0,11,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,0,1,0,0,2,42,0,0,220,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,8,3761,0,0,0,0,0,0,0,1,0,0,0,38,0,525,0,9,0,0,1983,0,0,0,0,6,0,0
"SRR11825875",0,0,2,0,3,0,0,0,2,24,0,7,2,4,0,0,0,0,0,9,0,29,651,0,0,0,49,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,354,0,22,5,944,0,0,40,0,0,78,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,100,0,845,0,0,0,3366,0,22,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,36,0,0,16,0,0,0,69,14,0,0,1326,0,0,0,2,3,261,0,0,0,0,2206,0,0,0,0,0,0,0,7,0,0,0,52,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,7,1,0,0,0,6,48,0,37,0,0,103,3,2,0,3,552,0,0,1,1,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,3,21,0,0,0,0,0,100,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,652,118,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4977,0,0,0,0,0,9,0,11,5,1,0,0,0,18,0,0,0,0,4854,2,0,0,0,0,0,0
"SRR11825876",2,0,0,0,7,0,0,0,0,9,0,0,7,122,0,0,0,0,0,3,0,190,20,0,6,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,55,0,3,0,706,0,0,43,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,10,0,1,322,0,0,0,1,0,40,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,3,33,0,1,119,27277,0,0,0,0,2376,0,0,0,0,0,3,0,6,0,0,0,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,25,2,6,0,0,98,13,0,0,0,9,0,37,0,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,240,0,0,175,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,76,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,776,5,0,0,0,0,0,0
"SRR11825877",0,0,11,0,3,0,0,28,0,11,23,0,0,7,0,3,0,0,0,0,0,14,2816,0,2,0,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,834,0,257,0,224,0,0,47,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,176,0,14,0,0,0,13,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,10,0,68,2,0,0,40,2,0,0,0,5,0,0,580,32,0,0,0,0,7585,0,0,0,0,274,0,0,15,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0,1,2,0,36,0,0,120,0,0,0,0,33,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,2,0,0,0,0,1,8,0,0,0,0,5,0,39,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,55,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5731,0,0,0,0,0,0,0,6,0,0,26,12,0,4,7,43,0,0,2316,32,0,0,0,1,0,0
"SRR11825878",0,0,26,0,19,0,0,28,0,45,0,10,0,37,0,0,37,0,0,42,0,8,8233,0,0,0,63,0,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,2,0,207,36,1426,1,167,0,0,19,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,2,101,0,4,235,0,0,0,0,0,768,0,0,0,0,0,0,0,0,235,931,0,0,77,1,0,0,0,0,0,0,2,0,0,0,1,40,20,0,0,0,0,1190,2,0,3,4,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,23,0,0,5,0,0,4,0,0,8,0,0,10,0,24,83,0,0,42,84,10,0,45,70,4,0,4,2,2,0,0,329,0,0,0,0,0,0,4,12,0,0,0,7,204,1382,0,14,1727,0,0,48,0,0,0,0,0,0,0,0,94,0,0,0,0,0,24,0,0,0,0,2,0,8,0,0,0,3,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,2309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,263,90,9,0,217,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,604,698,0,0,0,0,0,0,0,3,0,0,7,1,0,190,11,112,0,0,1213,188,0,0,0,0,0,0
"SRR11825879",0,0,385,0,48,0,0,0,0,26,0,30,349,34,0,0,0,0,0,14,0,5,7,0,0,0,0,0,0,0,6,0,0,0,0,0,1388,0,0,0,0,0,0,1,0,8898,0,8283,0,1516,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,74,0,0,0,1494,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,0,0,0,111,1904,331,0,2,0,0,386,0,11,0,0,0,0,0,6,0,0,0,2,3,0,0,0,0,4,0,8,577,0,0,0,0,0,0,0,0,0,0,0,4,45,0,15,0,0,519,259,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,145,1,0,0,2,0,0,378,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,101,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1878,23,0,0,1,0,0,7,0,6,26,0,105,0,0,0,0,1,0,0,422,208,0,0,0,0,0,0
"SRR11825880",0,0,15,0,0,0,0,0,2,5,4,3,0,5,0,0,0,0,0,0,0,70,4299,0,163,0,9,0,0,0,0,3,0,0,0,0,10,1,0,0,5,0,0,0,0,271,0,0,5,192,0,0,109,2,1,10,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,72,0,5,0,0,0,2,0,0,18,0,0,0,0,0,26,0,1,0,0,0,0,0,0,1,2,0,0,11,0,0,0,3,7,0,0,8,0,0,0,7,19,26145,0,0,0,0,1143,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,4,0,0,1,0,11,0,1,12,0,0,100,0,5,0,9,12,32,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,42,0,0,0,0,0,0,0,13,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,20,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,208,0,0,0,0,0,1,0,0,12,0,4,20,0,123,55,2,0,0,390,1,0,0,0,0,0,0
"SRR11825881",2,0,8,0,11,0,0,231,13,19,3,3,7,84,0,0,0,0,0,1,0,14,22,0,7,0,268,0,0,0,0,0,0,0,0,0,7,7,0,0,0,2,0,0,0,4935,0,4,11,217,0,0,27,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,218,0,0,0,0,0,6,0,10,1,0,0,0,0,0,78,0,0,0,0,0,0,2,0,34,4,0,0,28,10,0,0,10,0,0,0,0,0,0,0,2,4,249,0,0,0,0,4650,0,0,0,0,0,0,0,36,0,22,0,23,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,6,0,22,4,29,1,0,0,36,3,0,0,3,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,2,0,0,0,5,0,0,65,0,0,69,0,0,0,0,1,0,259,0,0,0,0,0,1,0,0,0,0,4,0,0,82,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,84,0,0,55,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,1953,0,0,6,0,0,1,0,0,7,0,0,23,0,38,1,114,0,0,914,0,0,0,0,0,0,0
"SRR11825882",4,0,0,0,21,0,0,0,0,8,0,0,16,36,0,0,6,0,0,4,0,0,3836,0,0,0,15,0,0,0,0,0,0,0,0,0,104,6,0,0,0,0,0,1,0,262,0,787,1,446,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,59,0,17,708,0,0,0,0,0,23,0,0,0,0,0,0,0,0,113,1,0,0,30,0,0,0,12,93,0,0,18,0,0,0,4,28,4123,0,0,0,0,1541,0,4,1,0,0,0,0,11,0,0,0,69,0,0,0,0,0,0,0,1,0,71,0,1,0,0,0,0,0,0,3,0,8,9,0,75,0,0,439,54,4,0,0,723,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,0,150,22,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,2,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,154,175,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,0,0,0,0,0,0,0,12,3,26,1,14,0,75,0,0,0,0,5964,1,0,0,0,0,0,0
"SRR11825883",5,0,0,0,0,0,0,28,2,5,5,0,11,59,0,0,17,0,0,3,0,15,5203,0,7,0,46,40,0,0,0,0,0,19,0,0,21,0,0,0,0,0,0,0,0,456,5,3009,4,99,0,0,131,6,627,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,46,0,10,399,0,0,0,2,0,76,0,0,0,1,0,0,13,0,22,306,0,0,4,0,0,0,1,22,0,0,3,0,0,0,0,4,637,0,0,0,0,6144,0,9,11,3,0,7,0,25,0,0,0,43,10,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,3,0,159,0,5,79,12,0,0,0,77,21,0,2,39,19,9,5,3,1,1,0,0,27,0,0,0,0,0,0,9,36,0,0,0,0,0,39,0,0,0,0,0,55,0,0,0,0,17,0,0,0,21,0,0,2,17,0,10,0,5,0,0,2,0,16,0,0,0,6,0,4,0,0,0,0,0,0,0,69,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,234,0,0,165,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,71,521,0,0,0,0,0,11,0,11,0,0,0,15,0,193,21,58,0,5,1644,1022,0,0,0,0,0,0
"SRR11825884",0,2,0,0,19,0,0,0,0,5,0,0,5,496,0,0,0,0,0,0,0,118,1444,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,8,0,2515,1,1147,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,227,0,0,0,10,0,55,0,0,0,0,0,0,3,0,0,0,0,0,83,0,0,0,7,6,0,11,1,5,0,0,11,5,97,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,126,0,0,10,0,1,3,0,0,20,0,4,3,0,0,0,0,0,0,1,0,0,206,0,0,0,0,2,0,16,11,0,0,0,0,0,35,0,0,0,0,0,59,0,0,0,0,0,0,0,0,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,63,4953,0,0,0,0,0,0,0,0,0,0,0,33,0,312,0,17,0,0,559,0,0,0,0,0,0,0
