"","[Clostridium] innocuum group","[Eubacterium] brachy group","[Eubacterium] eligens group","[Eubacterium] fissicatena group","[Eubacterium] hallii group","[Eubacterium] nodatum group","[Eubacterium] ruminantium group","[Eubacterium] siraeum group","[Eubacterium] ventriosum group","[Eubacterium] xylanophilum group","[Ruminococcus] gauvreauii group","[Ruminococcus] gnavus group","[Ruminococcus] torques group","Abiotrophia","Acetanaerobacterium","Achromobacter","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Aeromonas","Agathobacter","Aggregatibacter","Akkermansia","AKYG587","Alcaligenes","Algoriphagus","Alistipes","Alkanindiges","Allisonella","Alloprevotella","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Alloscardovia","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaerolinea","Anaeroplasma","Anaerostignum","Anaerostipes","Anaerotruncus","Anaerovorax","Arenimonas","Asticcacaulis","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brachybacterium","Brevibacillus","Brevundimonas","Butyricicoccus","Butyricimonas","CAG-352","CAG-56","Candidatus Kuenenia","Candidatus Saccharimonas","Candidatus Soleaferrea","Candidatus Stoquefichus","Capnocytophaga","Cardiobacterium","Carnobacterium","Catabacter","Catenibacillus","Catenibacterium","Cellulosilyticum","CHKCI001","CHKCI002","Christensenella","Christensenellaceae R-7 group","Chroococcidiopsis SAG 2023","Chryseobacterium","Citrobacter","Cloacibacillus","Clostridioides","Clostridium sensu stricto 1","Cnuella","Colidextribacter","Collinsella","Companilactobacillus","Coprobacillus","Coprobacter","Coprococcus","Corynebacterium","Cuneatibacter","Curvibacter","Cutibacterium","Defluviitaleaceae UCG-011","Deinococcus","Desulfobacca","Desulfovibrio","Dialister","Dielma","Dorea","DTU089","Eggerthella","Eisenbergiella","Enhydrobacter","Enorma","Ensifer","Enterobacter","Enterococcus","Enterorhabdus","Epulopiscium","Erysipelatoclostridium","Erysipelotrichaceae UCG-003","Erysipelotrichaceae UCG-006","Escherichia-Shigella","Eubacterium","Ezakiella","F0332","Faecalibacterium","Faecalicoccus","Faecalitalea","Family XIII AD3011 group","Family XIII UCG-001","Fenollaria","Finegoldia","Flavobacterium","Flavonifractor","Fournierella","Frisingicoccus","Fructilactobacillus","Furfurilactobacillus","Fusicatenibacter","Fusobacterium","Gardnerella","GCA-900066575","GCA-900066755","Gemella","Geobacillus","Gordonibacter","Granulicatella","Haemophilus","Harryflintia","Helicobacter","Holdemanella","Holdemania","Howardella","HT002","Hungatella","Incertae Sedis","Intestinibacter","Intestinimonas","JGI-0000079-D21","Johnsonella","Klebsiella","Kocuria","Kurthia","Lachnoclostridium","Lachnospira","Lachnospiraceae AC2044 group","Lachnospiraceae FCS020 group","Lachnospiraceae NC2004 group","Lachnospiraceae ND3007 group","Lachnospiraceae NK4A136 group","Lachnospiraceae UCG-001","Lachnospiraceae UCG-003","Lachnospiraceae UCG-004","Lachnospiraceae UCG-010","Lacticaseibacillus","Lactiplantibacillus","Lactobacillus","Lactococcus","Lactonifactor","Latilactobacillus","Lawsonella","Leptolinea","Leptotrichia","Leuconostoc","Ligilactobacillus","Limnobacter","Limosilactobacillus","Longilinea","Luteimonas","Lysobacter","Macrococcus","Marvinbryantia","Massilia","Megamonas","Megasphaera","Merdibacter","Methanobrevibacter","Methylobacterium-Methylorubrum","Microbacterium","Micromonospora","Mitsuokella","Mobiluncus","Mogibacterium","Monoglobus","Morganella","Mycobacterium","Mycoplasma","Negativibacillus","Neisseria","Nitrospira","NK4A214 group","Nocardioides","Noviherbaspirillum","Novosphingobium","Odoribacter","OLB13","Olsenella","Oribacterium","Oscillibacter","Oscillospira","Oxalobacter","Paeniclostridium","Paeniglutamicibacter","Paenisporosarcina","Paludicola","Papillibacter","Parabacteroides","Paracoccus","Paraeggerthella","Paraprevotella","Parasutterella","Parvimonas","Patulibacter","Pediococcus","Pedobacter","Peptoclostridium","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Porphyromonas","Prevotella","Prevotella_9","Prevotellaceae Ga6A1 group","Prevotellaceae NK3B31 group","Prevotellaceae UCG-001","Propionibacterium","Propioniciclava","Proteus","Pseudarthrobacter","Pseudomonas","Pseudopropionibacterium","Psychrobacter","Pygmaiobacter","Pyramidobacter","Rahnella1","Raoultella","Raoultibacter","Rhizobacter","Rhodococcus","Rikenellaceae RC9 gut group","Robinsoniella","Romboutsia","Roseburia","Roseococcus","Rothia","Ruminiclostridium","Ruminococcus","Sanguibacteroides","Sarcina","Scardovia","Selenomonas","Sellimonas","Senegalimassilia","Shewanella","Shuttleworthia","Slackia","SM1A02","Solobacterium","Sphingomonas","Staphylococcus","Streptococcus","Streptomyces","Subdoligranulum","Sulfurimonas","Sutterella","Synergistes","Terrisporobacter","Thermus","Tissierella","TM7a","TM7x","Treponema","Turicibacter","Tuzzerella","Tyzzerella","UBA1819","UBA6140","UC5-1-2E3","UCG-002","UCG-003","UCG-004","UCG-005","UCG-008","UCG-009","Unknown","Vagococcus","Veillonella","Verrucosispora","Vibrio","Weissella"
"SRR9671456",730,0,0,0,21,0,0,0,1,0,1,2688,1,1,0,0,0,43,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2485,0,0,0,0,1,0,1799,0,2,0,539,0,0,0,16,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,854,1,0,5742,0,0,0,13,0,0,0,0,0,0,0,1,913,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2413,35,77,0,0,0,75,0,0,6709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,1,0,0,0,0,0,839,0,1585,0,0,0
"SRR9671457",64,0,0,0,2,2,0,1,0,0,27,1367,274,0,0,0,0,73,7,139,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,38,0,0,0,0,0,0,3211,0,476,65,861,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,25,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,65,0,0,0,115,0,0,0,0,4,8,0,0,24,1353,0,10120,7,0,0,1245,0,0,0,0,0,0,0,71,0,0,0,0,0,1061,0,0,0,16,0,0,0,1,0,0,2,0,0,0,286,56,130,0,0,3,514,0,0,1906,0,0,0,0,0,2,0,0,6,0,0,0,0,51,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,0,1,0,0,13,557,0,62,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,659,0,2,0,0,0,0,0,0,0,20,0,6,0,0,222,0,0,1,0,0,1,0,0,828,0,4460,0,0,77
"SRR9671458",0,0,3,0,28,0,4,0,0,0,4,1,17,0,0,0,0,705,0,0,0,144,0,22,0,0,0,9,5,0,0,0,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,82,7,56,1,86,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,9,0,0,0,8,0,0,0,0,0,0,0,1,6,0,11,0,1,0,0,0,0,3,26083,0,0,0,7,0,16,0,0,0,197,0,0,1,0,0,0,0,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,15,0,0,4,4,4,1,0,0,0,6,0,35,7,0,0,0,0,0,2,0,0,0,3,34,1,0,2,0,1,0,0,0,2,6,0,3,0,0,0,0,2,26,23,5,0,0,10,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,25,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,93,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,14,0,0,19,17,0,0,0,3,0,0,50,0,1,1,0,0,0,0,0,0,8,78,0,18,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,139,0,3,0,0,2
"SRR9671459",1,4,0,0,225,2,18,0,845,4,0,43,6,0,0,0,0,14,1,150,0,1670,0,0,0,0,0,623,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,1794,0,49,22,584,0,0,0,240,0,0,251,0,0,4,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,342,0,2,38,0,0,0,368,0,0,0,0,5,0,0,0,1537,0,172,0,4,2,0,0,0,0,0,0,0,0,145,0,89,0,0,0,5937,0,1,4,0,0,0,0,5,0,0,0,0,332,0,0,1,0,0,0,0,0,55,0,0,1,0,0,3,0,20,553,2,0,0,0,0,0,196,17,0,5,0,6,177,58,71,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,26,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,3674,0,0,0,612,0,0,0,0,4,0,0,0,0,0,0,0,0,24,0,2483,0,0,0,0,0,0,0,1,0,199,0,32,4,0,0,181,3,0,80,0,0,1344,0,15,0,0,0
"SRR9671460",18,0,162,18,292,355,8,0,32,0,0,21,495,0,0,0,0,15,2,0,0,124,0,711,0,0,0,0,0,209,0,0,0,2,0,0,0,0,0,0,337,51,0,0,0,1,0,7382,0,72,0,875,0,0,0,288,0,0,8,0,0,6,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,726,0,47,0,0,4,0,2562,0,0,0,0,0,0,0,413,2287,0,47,9,76,208,0,0,0,0,0,0,0,45,0,0,137,8,12,0,1211,0,5,0,0,4,1,0,446,0,0,0,0,116,8,0,0,0,1,0,41,0,0,0,0,1,40,0,0,100,40,838,0,0,0,271,0,0,1229,34,0,0,0,4,813,61,0,191,0,0,0,6,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0,22,0,0,0,0,0,0,0,0,0,402,0,0,0,0,0,0,14,7,0,0,12,26,1,0,0,0,0,0,0,0,6,0,0,0,46,0,0,0,0,0,4,0,133,4425,0,1,0,378,0,688,0,26,68,0,0,0,4,0,2,0,0,64,0,3329,0,131,0,12,0,0,0,3,0,40,0,0,115,0,92,0,0,0,0,0,0,1622,0,4,0,0,0
"SRR9671461",740,0,0,9,0,0,0,0,0,0,0,3295,0,0,0,0,0,33,12,0,0,0,0,0,0,0,0,21,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1783,0,4,0,257,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,756,6,0,0,0,0,0,0,0,1,31,0,0,496,0,0,12441,0,0,0,0,0,276,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1358,0,705,31,0,0,543,0,0,4672,0,0,0,0,0,0,0,0,0,1,0,1,11,12,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,68,2,0,0,203,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,492,0,81,0,0,0
"SRR9671462",8,0,49,7,319,3,0,64,221,86,0,3,207,0,0,0,0,16,2,42,0,493,0,1273,0,0,0,1019,0,0,0,0,0,0,0,0,0,0,0,0,168,6,0,0,0,1,0,3851,468,2516,14,2341,0,0,0,164,5,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,224,0,0,0,0,0,50,0,0,210,0,0,0,0,0,0,0,0,2,0,0,0,0,0,409,11,19,13,0,0,0,0,9,0,0,42,121,0,63,0,0,0,1115,0,0,25,0,0,0,0,9,0,0,0,0,231,0,0,0,0,1,0,0,0,0,0,0,3879,6,0,0,21,16,43,13,0,0,5,0,0,26,38,0,19,0,3,142,31,0,0,18,0,0,34,0,0,0,0,0,0,0,66,0,8,0,0,0,0,15,1,0,0,0,0,1,0,0,0,0,0,193,0,0,0,0,0,0,398,0,0,0,89,0,0,0,26,0,0,0,0,0,3,0,136,0,0,0,1,0,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,2,0,0,388,337,0,0,0,2267,0,0,2,0,2,0,0,0,0,0,0,0,0,123,0,2093,0,2,0,2,0,0,0,2,0,8,0,37,27,0,0,427,69,0,51,0,0,1164,0,0,0,0,0
"SRR9671463",21,0,0,26,642,1,0,0,0,0,0,957,177,0,0,0,4,48,10,207,0,13,0,0,0,0,0,44,0,313,0,0,0,0,0,0,0,0,0,0,2784,7,0,0,0,0,0,924,2,2585,15,10005,0,0,0,541,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,2,2,0,0,0,0,0,0,148,243,0,0,0,160,43,0,0,0,3,3,0,0,85,3,0,278,0,0,0,2515,0,6,6,0,0,3,0,2,0,0,0,0,4,133,0,0,0,4,0,0,2,0,0,0,0,0,0,0,24,64,173,0,0,0,10,0,0,417,22,0,0,0,25,5,0,0,10,27,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,22,3,0,5,70,3,0,0,0,0,0,5,1,2,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0,0,0,0,157,0,1,0,0,257,182,0,1,0,2862,0,0,1,0,1054,0,0,0,0,0,7,0,0,612,0,2024,0,2,0,0,0,0,0,33,0,0,0,38,47,0,0,29,1,0,1,0,0,604,0,11,0,0,1
"SRR9671464",2,2,0,0,303,3,0,0,8,0,78,123,661,0,0,0,0,159,6,0,0,6,0,7,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,2272,0,0,0,0,2,0,17448,0,91,0,1782,0,0,0,605,0,0,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,132,0,0,2,121,0,0,0,0,0,0,0,0,0,0,187,0,3,0,0,0,0,10,0,0,0,115,467,0,569,0,0,0,429,0,0,0,0,0,0,0,15,0,0,0,0,44,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,6,14,0,0,0,619,0,0,2935,4,0,3,0,88,21,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4359,0,0,0,0,0,0,0,0,0,154,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,2,0,0,98,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,3,0,0,296,1044,0,4,0,7,0,0,0,0,0,0,0,0,16,0,5,0,0,68,0,579,0,0,0,0,3,0,0,55,0,3,0,549,0,0,0,0,0,0,0,0,0,739,0,3,0,0,0
"SRR9671465",135,0,0,0,2,0,0,0,0,0,0,86,634,1,6,0,0,267,21,43,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,0,0,0,791,0,3,0,2514,0,0,0,33,0,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5112,0,26,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,54,1,200,0,0,0,0,0,2,0,0,1047,0,0,3,8,0,0,8,0,49,0,0,0,0,0,41,0,0,0,0,0,273,0,0,0,3,0,8,1,0,0,0,0,0,28,0,7,10,8,0,0,0,2,0,0,1373,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18795,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,0,1147,1,0,117,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,7,0,0,76,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,265,0,65,0,0,0,0,3,0,0,7,0,4,20,0,66,0,0,0,0,0,0,0,0,1962,0,0,0,0,0
"SRR9671466",0,6,21,2,137,0,0,14,192,86,0,0,36,0,1,0,0,17,1,0,0,1905,0,0,0,0,0,204,0,15,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,1,1195,87,23,20,340,0,0,0,84,5,3,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0,123,0,0,0,0,0,0,431,0,0,0,0,0,0,0,87,648,0,56,0,0,6,0,0,0,0,1,0,0,0,157,0,10069,0,0,0,3630,0,2,0,0,0,0,0,7,0,5,0,0,125,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,2,54,4,0,0,0,652,0,0,131,41,0,12,1,2,248,8,8,57,11,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,4,0,0,69,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,49,0,0,0,14,0,0,0,11,0,0,0,0,0,2,0,112,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,1,0,0,0,1644,0,0,0,128,0,0,0,0,56,0,0,0,0,0,0,0,0,15,0,792,0,3,0,0,0,0,0,2,0,5,0,6,8,0,0,257,2,0,8,0,0,1338,0,23,0,0,0
"SRR9671467",474,0,0,0,0,0,0,0,0,0,0,86,2,0,0,0,0,5,8,0,0,1,0,0,0,0,0,171,0,0,0,0,0,0,0,0,2,0,0,0,80,0,0,0,0,0,0,12466,0,19,69,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,255,0,36,0,0,0,0,0,0,2,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,15,21,0,0,0,0,669,0,0,1,1307,0,3264,9,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1414,20,823,50,0,0,0,0,0,1812,128,0,0,0,0,0,0,0,2,0,0,0,1,0,29,0,0,0,0,0,382,0,2,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,0,0,0,4,0,914,0,0,0,288,0,0,0,0,0,0,0,0,1233,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,4,15,2,0,2,0,375,0,0,0,0,0,0,0,0,0,0,3,0,0,188,0,0,0,0,0,98,0,0,0,0,0,7,0,0,2450,0,0,0,0,0,0,0,0,132,0,675,0,0,0
"SRR9671468",0,4,40,0,145,0,958,159,39,42,93,0,115,0,0,0,0,5,0,80,0,1999,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,138,1,0,0,0,0,0,3226,0,0,15,1418,0,0,0,379,0,418,256,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,19,0,4,86,0,0,0,1154,0,0,0,0,0,0,0,0,990,0,85,0,0,0,0,0,0,0,0,0,0,0,148,0,2,0,0,0,6437,0,1,10,5,0,0,0,7,0,0,0,0,112,0,0,11,0,4,0,4,0,87,0,0,0,2,0,0,0,17,0,0,0,0,1,0,0,486,128,0,24,0,17,207,84,0,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,43,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4982,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,5,581,0,3,0,676,0,0,0,0,0,0,0,0,0,0,1,0,0,106,0,596,0,32,0,0,0,0,0,3,0,1,0,0,0,0,0,161,35,0,156,0,0,1621,0,52,0,0,0
"SRR9671469",1,0,2,0,89,0,119,0,254,32,18,85,54,0,1,0,0,8,1,30,0,4719,0,17,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,87,2,0,0,0,0,1,1636,0,7,52,543,0,0,0,222,4,1712,178,0,0,2,0,0,0,0,0,1,0,0,0,0,4,154,0,0,0,0,0,439,0,18,43,0,0,0,82,1,0,0,0,7,0,0,0,0,1,61,0,5,2,0,0,0,0,0,0,0,1,36,0,37,0,0,0,5676,0,5,20,27,0,0,0,21,0,0,0,0,116,76,0,3,0,1,0,0,0,0,0,0,0,13,0,0,0,12,0,8,0,0,0,0,0,1191,245,0,2,0,32,233,141,0,17,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,3,0,0,36,0,0,0,8,0,0,0,31,2,0,0,0,0,1,1,18,0,0,0,129,0,0,0,0,0,0,0,0,984,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,27,1076,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,388,0,0,0,0,0,0,0,1,0,0,0,112,18,0,0,290,25,0,14,0,0,626,0,1,0,0,0
"SRR9671470",751,0,0,0,2829,3,2,0,1,0,0,865,21,7,0,0,0,138,56,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,224,0,0,0,0,0,0,6780,0,5,37,2478,0,0,6,1483,0,357,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,269,380,0,0,3,0,19,0,2,4,0,0,0,0,0,0,0,3,0,4,0,133,0,0,0,0,16,9,0,0,220,2,0,2707,0,0,0,18,0,0,0,0,0,0,0,484,0,0,0,0,4,988,0,0,0,61,0,0,7,0,0,0,2,5,0,5,2965,59,869,0,0,37,247,0,0,6980,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,11,601,0,0,0,3,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,0,55,10,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,1,0,0,0,0,0,5,0,35,4,0,0,0,0,0,0,0,8,0,0,1295,95,2,1,0,2,0,0,0,0,0,0,0,0,0,0,5,0,14,186,0,0,0,0,0,59,0,0,45,216,0,35,3,127,0,0,0,5,0,0,0,0,0,1701,0,60,0,0,13
"SRR9671471",1,7,194,4,1471,0,0,338,11,33,154,1,221,0,0,0,0,9,22,271,0,285,0,13,0,0,0,244,0,0,0,0,0,0,5,3,0,0,0,0,706,0,0,0,0,0,0,236,73,61,7,3010,0,0,0,166,33,19,196,0,0,2,0,0,0,0,3,0,0,0,0,0,0,809,0,0,0,0,0,196,0,16,341,0,0,3,289,10,0,0,0,2,0,0,34,1,0,176,2,1,2,0,0,0,0,0,0,0,0,90,0,106,0,0,3,3576,0,0,26,6,0,0,0,0,0,0,0,0,377,2,0,20,0,7,0,2,2,10,0,0,1,13,0,0,0,51,94,4,0,0,5,0,0,7,13,0,52,0,27,346,0,0,0,8,0,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,95,1,1584,0,0,0,0,0,0,0,0,0,130,0,0,0,62,0,0,149,0,0,0,5,0,0,0,24,0,2,32,0,0,13,1,37,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,37,0,2,0,0,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,222,224,0,18,0,292,3,0,0,0,0,0,0,5,0,0,0,0,0,6245,0,1628,0,1,0,41,1,0,0,3,0,0,0,0,6,0,0,350,6,0,193,0,10,4413,0,5,0,0,1
"SRR9671472",45,0,47,1,108,1,0,0,6,0,0,320,9,0,4,0,8,14,4,13,0,63,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,138,11,0,0,0,0,0,7085,68,2,0,1388,0,0,0,172,101,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,56,0,0,0,69,0,0,0,0,0,0,0,2,2774,0,17,0,33,183,0,0,0,0,0,0,0,93,1053,0,396,3,0,0,6529,0,0,15,37,0,0,0,149,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,46,0,0,204,42,20,1,0,0,3,0,0,4395,0,8,7,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,38,0,4,0,0,0,3,3,156,0,0,76,142,0,0,0,0,0,0,0,0,756,3,0,2,632,0,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,0,2,0,0,0,0,569,0,0,40,0,0,3,0,6,687,0,7,0,0,1
"SRR9671473",4,2,10,3,173,0,194,13,97,0,0,0,84,0,0,0,47,17,3,47,0,29,0,0,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,3,2027,132,1276,2,1540,0,0,0,86,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0,0,88,0,0,256,0,0,0,192,0,0,0,0,0,0,0,22,701,0,152,0,0,0,0,0,0,0,1,0,0,1,175,0,66,0,0,0,8457,0,0,3,5,0,0,0,6,0,11,0,0,392,0,0,7,0,3,0,3,0,3,0,0,1152,6,0,0,0,21,0,8,0,0,2,0,0,266,6,0,44,0,90,68,0,0,8,27,0,0,0,88,0,0,0,0,0,0,27,0,0,0,0,0,0,15,0,4051,367,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0,43,0,0,0,44,0,0,0,46,0,0,0,0,0,0,6,21,0,0,0,102,0,0,0,0,0,0,0,2,2,0,0,0,3019,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,527,169,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1681,0,17,0,0,1,0,0,4,0,0,0,38,9,0,0,264,27,0,35,0,16,1593,0,2,0,0,19
