model,distance,term,Df,SumOfSqs,R2,F_stat,p_value
cohort+diagnosis,aitchison,cohort,3,45476.84432832792,0.17216718079215562,28.03169591954558,1e-4
cohort+diagnosis,aitchison,diagnosis,1,3689.69520917951,0.013968524675118232,6.822928173696808,1e-4
cohort+diagnosis,aitchison,Residual,396,214148.42214928672,0.8107275396319635,NA,NA
cohort+diagnosis,bray_curtis,cohort,3,14.653105723321318,0.11734464825002086,17.91304496865337,1e-4
cohort+diagnosis,bray_curtis,diagnosis,1,1.9034567426860178,0.015243216431184916,6.980780771960329,1e-4
cohort+diagnosis,bray_curtis,Residual,396,107.97773124910657,0.8647046661306513,NA,NA
