model,mean_null_jaccard,ci_lower_null,ci_upper_null,analytical_expected,observed_mean_jaccard,p_value
logreg,0.0266,0.0,0.0811,0.0259,0.1282,0.0019
lgbm,0.0261,0.0,0.0811,0.0259,0.0584,0.0678
