cohort,model,n_participants,n_AD,n_CN,auc_within_observed,auc_loco_observed,observed_delta_auc,bootstrap_mean_delta,bootstrap_delta_ci_lo,bootstrap_delta_ci_hi,proportion_bootstrap_delta_le_0,n_boot,n_boot_valid
zhuang2018,logreg,86,43,43,0.6647,0.5057,0.159,0.1586,-0.0152,0.325,0.0381,10000,10000
zhuang2018,lgbm,86,43,43,0.6733,0.596,0.0773,0.077,-0.0963,0.2472,0.1908,10000,10000
ling2020,logreg,171,100,71,0.8896,0.6794,0.2101,0.2097,0.1215,0.3003,0.0,10000,10000
ling2020,lgbm,171,100,71,0.8415,0.6534,0.1882,0.1885,0.0945,0.2835,0.0,10000,10000
shanghai2022,logreg,60,30,30,0.9956,0.8122,0.1833,0.1829,0.0711,0.3078,0.0001,10000,10000
shanghai2022,lgbm,60,30,30,0.97,0.7878,0.1822,0.1816,0.0689,0.3078,0.0003,10000,10000
kazakhstan2022,logreg,84,41,43,0.7368,0.6092,0.1276,0.1275,-0.0289,0.2825,0.0559,10000,10000
kazakhstan2022,lgbm,84,41,43,0.6109,0.5247,0.0862,0.0853,-0.093,0.2677,0.1786,10000,10000
