model,observed_auc_training_only,n_perm,null_mean,null_sd,null_p2.5,null_p97.5,empirical_p,p_resolution
logreg,0.9956,1000,0.4731,0.1017,0.28,0.6734,0.000999,0.000999
lgbm,0.97,1000,0.4719,0.1094,0.2643,0.6878,0.000999,0.000999
