cohort,taxon,n_folds_total,n_positive,n_negative,n_zero,median_coefficient,mean_coefficient,sign_stability
kazakhstan2022,Campylobacter,10,0,10,0,-0.009804984554765684,-0.01268294468430771,stable_negative
kazakhstan2022,Candidatus Entotheonella,10,1,9,0,-0.0030923365550294167,-0.004347579755248122,stable_negative
kazakhstan2022,Candidatus Nitrocosmicus,10,9,1,0,0.006129403500571325,0.004901801598868351,stable_positive
kazakhstan2022,Candidatus Nitrososphaera,10,10,0,0,0.0273894528667971,0.026431220749943668,stable_positive
kazakhstan2022,Candidatus Soleaferrea,10,10,0,0,0.02412313277410697,0.029411396664182958,stable_positive
kazakhstan2022,Candidatus Solibacter,10,0,10,0,-0.01446980449026283,-0.01599547703259558,stable_negative
kazakhstan2022,Candidatus Udaeobacter,10,5,5,0,-0.000281107580152521,-0.0014578593556678937,unstable
kazakhstan2022,Castellaniella,10,0,10,0,-0.07468871360708507,-0.09108710323919914,stable_negative
kazakhstan2022,Catabacter,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,Catenibacillus,10,0,10,0,-0.018021144322904414,-0.02156263690657587,stable_negative
kazakhstan2022,Catenibacterium,10,2,8,0,-0.008390438367488064,-0.006638429942549542,stable_negative
kazakhstan2022,Catenisphaera,10,10,0,0,0.03850388735997026,0.04996749725767061,stable_positive
kazakhstan2022,Caulobacter,10,10,0,0,0.004437553798351701,0.006713901011421036,stable_positive
kazakhstan2022,Cellvibrio,10,10,0,0,0.015568498606698398,0.018180269325080108,stable_positive
kazakhstan2022,Chelativorans,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,Chitinophaga,10,10,0,0,0.029882816987902128,0.03213112254329992,stable_positive
kazakhstan2022,Christensenella,10,2,8,0,-0.00768980923639799,-0.0023091491411910917,stable_negative
kazakhstan2022,Christensenellaceae R-7 group,10,10,0,0,0.014025699014601108,0.012329652447426053,stable_positive
kazakhstan2022,Chryseobacterium,10,10,0,0,0.013286521142675905,0.015771435912017594,stable_positive
kazakhstan2022,Chryseolinea,10,6,4,0,0.0006580884330613151,0.0009346451188494524,unstable
kazakhstan2022,Chthoniobacter,10,10,0,0,0.009436336851260385,0.009364731119736796,stable_positive
kazakhstan2022,Citricoccus,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,Citrifermentans,10,9,1,0,0.01014778172528091,0.013740093972001027,stable_positive
kazakhstan2022,Citrobacter,10,8,2,0,0.0179007567906602,0.026079009192913144,stable_positive
kazakhstan2022,Cloacibacillus,10,10,0,0,0.05041235327967747,0.05469306350729285,stable_positive
kazakhstan2022,Clostridium sensu stricto 1,10,10,0,0,0.017885929366901136,0.02501450925462188,stable_positive
kazakhstan2022,Colidextribacter,10,9,1,0,0.01375137076183807,0.010170246749047358,stable_positive
kazakhstan2022,Collinsella,10,0,10,0,-0.0178149036169209,-0.020662106311428775,stable_negative
kazakhstan2022,Comamonas,10,6,4,0,0.002421204297166913,0.0033369928725802828,unstable
kazakhstan2022,Coprobacillus,10,0,10,0,-0.0198058613660757,-0.03490525276002969,stable_negative
kazakhstan2022,Coprobacter,10,7,3,0,0.0031560424173465162,0.005113121429522719,unstable
kazakhstan2022,Coprococcus,10,0,10,0,-0.01724826576300638,-0.021846442703955575,stable_negative
kazakhstan2022,Coriobacteriaceae UCG-003,10,9,1,0,0.02561621391964789,0.03203506912789882,stable_positive
kazakhstan2022,Corynebacterium,10,10,0,0,0.034725111913591414,0.04163159474000799,stable_positive
kazakhstan2022,Cupriavidus,10,0,10,0,-0.019625280380065516,-0.02835865219320613,stable_negative
kazakhstan2022,Curvibacter,10,6,4,0,0.0008965593502721072,0.0011595270147363263,unstable
kazakhstan2022,Cutibacterium,10,6,4,0,0.0028352024723856256,0.0148287916700006,unstable
kazakhstan2022,DTU089,10,1,9,0,-0.01401991804469941,-0.014258925455974517,stable_negative
kazakhstan2022,Dactylosporangium,10,0,10,0,-0.0077726427555054895,-0.009188806359323612,stable_negative
kazakhstan2022,Defluviitaleaceae UCG-011,10,9,1,0,0.01974253557256838,0.027518166162016567,stable_positive
kazakhstan2022,Desulfovibrio,10,10,0,0,0.02643226160729955,0.02856251704415038,stable_positive
kazakhstan2022,Dethiobacter,10,0,10,0,-0.01922648550044435,-0.019648296114173715,stable_negative
