cohort,term,Df,SumOfSqs,R2,F_stat,p_value
zhuang2018,diagnosis,1,814.1803814810919,0.01716967263715996,1.4674481050979915,0.0661
zhuang2018,Residual,84,46605.49957904289,0.9828303273628392,NA,NA
ling2020,diagnosis,1,4433.799851080301,0.05337404692327377,9.52880480480781,1e-4
ling2020,Residual,169,78636.53314154377,0.9466259530767248,NA,NA
shanghai2022,diagnosis,1,2844.7056992897706,0.09384129935124434,6.006448272775461,1e-4
shanghai2022,Residual,58,27469.30016972688,0.9061587006487553,NA,NA
kazakhstan2022,diagnosis,1,1246.4890269165262,0.02185515423136918,1.8321648932924794,0.069
kazakhstan2022,Residual,82,55787.60982777898,0.978144845768631,NA,NA
