model,historical_single_partition_auc,training_only_single_partition_auc,repeated_cv_mean,repeated_cv_sd,repeated_cv_median,repeated_cv_p2.5,repeated_cv_p97.5,repeated_cv_min,repeated_cv_max,n_repeats
logreg,0.998,0.9956,0.9955,0.0027,0.9956,0.99,0.9989,0.9889,0.9989,50
lgbm,0.979,0.97,0.976,0.0103,0.9767,0.9519,0.9917,0.9378,0.9944,50
